epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.7510336637496948,0.6260730028152466,0.7900709509849548,0.4943937063217163
1,0.8041346669197083,0.46702659130096436,0.8174940943717957,0.4456559717655182
2,0.8145895004272461,0.4404679536819458,0.8368794322013855,0.4063935875892639
3,0.821500301361084,0.42921972274780273,0.8297872543334961,0.4037697911262512
4,0.825457751750946,0.42371857166290283,0.8312056660652161,0.420200377702713
5,0.8344359397888184,0.40797901153564453,0.8510638475418091,0.3831879198551178
6,0.8344359397888184,0.4019457995891571,0.8387706875801086,0.3901633322238922
7,0.8379208445549011,0.3984585404396057,0.8444444537162781,0.38813817501068115
8,0.8404607176780701,0.3955702483654022,0.8496453762054443,0.38733336329460144
9,0.8410513997077942,0.39097800850868225,0.8529551029205322,0.3784143924713135
10,0.8470171093940735,0.3833671510219574,0.8378250598907471,0.39417141675949097
11,0.844831645488739,0.3838149607181549,0.8529551029205322,0.38181182742118835
12,0.8397518992424011,0.39729419350624084,0.8534278869628906,0.3787950277328491
13,0.8464855551719666,0.38400760293006897,0.8491725921630859,0.3735741376876831
14,0.8458948731422424,0.38249310851097107,0.8515366315841675,0.3659510910511017
15,0.8438275456428528,0.384183794260025,0.8557919859886169,0.36665070056915283
16,0.8483166098594666,0.3769582509994507,0.8553191423416138,0.36425653100013733
17,0.8539279103279114,0.3699323832988739,0.8534278869628906,0.36455798149108887
18,0.850502073764801,0.37296897172927856,0.8534278869628906,0.36763137578964233
19,0.852037787437439,0.3735518157482147,0.8553191423416138,0.36497750878334045
20,0.8527466058731079,0.36880064010620117,0.8543735146522522,0.3642619550228119
